TaxonID,Family,Genus,Species,MammalName,Mass,FillMass
175,BOVIDAE,Capricornis,rubidus,Capricornis rubidus,-9999,0
176,BOVIDAE,Capricornis,sumatraensis,Capricornis sumatraensis,-9999,0
177,BOVIDAE,Capricornis,swinhoei,Capricornis swinhoei,-9999,0
178,BOVIDAE,Capricornis,thar,Capricornis thar,-9999,0
180,BOVIDAE,Cephalophus,adersi,Cephalophus adersi,9249.963,0
181,BOVIDAE,Cephalophus,callipygus,Cephalophus callipygus,18249.879,0
182,BOVIDAE,Cephalophus,dorsalis,Cephalophus dorsalis,20000,0
183,BOVIDAE,Cephalophus,harveyi,Cephalophus harveyi,14500.067,0
184,BOVIDAE,Cephalophus,jentinki,Cephalophus jentinki,70000.316,0
185,BOVIDAE,Cephalophus,leucogaster,Cephalophus leucogaster,12699.891,0
186,BOVIDAE,Cephalophus,natalensis,Cephalophus natalensis,11999.966,0
187,BOVIDAE,Cephalophus,niger,Cephalophus niger,20399.992,0
188,BOVIDAE,Cephalophus,nigrifrons,Cephalophus nigrifrons,13899.846,0
189,BOVIDAE,Cephalophus,ogilbyi,Cephalophus ogilbyi,20000,0
190,BOVIDAE,Cephalophus,rufilatus,Cephalophus rufilatus,11999.966,0
191,BOVIDAE,Cephalophus,silvicultor,Cephalophus silvicultor,72500.333,0
192,BOVIDAE,Cephalophus,spadix,Cephalophus spadix,56000.254,0
193,BOVIDAE,Cephalophus,weynsi,Cephalophus weynsi,17000,0
194,BOVIDAE,Cephalophus,zebra,Cephalophus zebra,17500.079,0
196,BOVIDAE,Connochaetes,gnou,Connochaetes gnou,179998.962,0
197,BOVIDAE,Connochaetes,taurinus,Connochaetes taurinus,179998.962,0
199,BOVIDAE,Damaliscus,lunatus,Damaliscus lunatus,136000.342,0
200,BOVIDAE,Damaliscus,pygargus,Damaliscus pygargus,102000,0
202,BOVIDAE,Dorcatragus,megalotis,Dorcatragus megalotis,10249.909,0
204,BOVIDAE,Eudorcas,albonotata,Eudorcas albonotata,-9999,0
205,BOVIDAE,Eudorcas,rufifrons,Eudorcas rufifrons,-9999,0
206,BOVIDAE,Eudorcas,rufina,Eudorcas rufina,-9999,0
207,BOVIDAE,Eudorcas,thomsonii,Eudorcas thomsonii,-9999,0
209,BOVIDAE,Gazella,arabica,Gazella arabica,22045.83963,1
210,BOVIDAE,Gazella,bennettii,Gazella bennettii,18916.667,0
211,BOVIDAE,Gazella,bilkis,Gazella bilkis,22045.83963,1
212,BOVIDAE,Gazella,cuvieri,Gazella cuvieri,25000,0
213,BOVIDAE,Gazella,dorcas,Gazella dorcas,23000.115,0
214,BOVIDAE,Gazella,gazella,Gazella gazella,22749.935,0
215,BOVIDAE,Gazella,leptoceros,Gazella leptoceros,22200,0
216,BOVIDAE,Gazella,saudiya,Gazella saudiya,16000,0
217,BOVIDAE,Gazella,spekei,Gazella spekei,20000,0
218,BOVIDAE,Gazella,subgutturosa,Gazella subgutturosa,28500,0
220,BOVIDAE,Hemitragus,jemlahicus,Hemitragus jemlahicus,35200,0
222,BOVIDAE,Hippotragus,equinus,Hippotragus equinus,269997.66,0
223,BOVIDAE,Hippotragus,leucophaeus,Hippotragus leucophaeus,248748.463,1
224,BOVIDAE,Hippotragus,niger,Hippotragus niger,227499.266,0
226,BOVIDAE,Kobus,ellipsiprymnus,Kobus ellipsiprymnus,210000.341,0
227,BOVIDAE,Kobus,kob,Kobus kob,78500.062,0
228,BOVIDAE,Kobus,leche,Kobus leche,110749.048,0
229,BOVIDAE,Kobus,megaceros,Kobus megaceros,87500.392,0
230,BOVIDAE,Kobus,vardonii,Kobus vardonii,71500.652,0
232,BOVIDAE,Litocranius,walleri,Litocranius walleri,37999.685,0
234,BOVIDAE,Madoqua,guentheri,Madoqua guentheri,7499.978,0
235,BOVIDAE,Madoqua,kirkii,Madoqua kirkii,5300.05,0
236,BOVIDAE,Madoqua,piacentinii,Madoqua piacentinii,2500,0
237,BOVIDAE,Madoqua,saltiana,Madoqua saltiana,3249.975,0
239,BOVIDAE,Naemorhedus,baileyi,Naemorhedus baileyi,27487.5,0
240,BOVIDAE,Naemorhedus,caudatus,Naemorhedus caudatus,27000,0
241,BOVIDAE,Naemorhedus,goral,Naemorhedus goral,28500,0
242,BOVIDAE,Naemorhedus,griseus,Naemorhedus griseus,27662.5,1
244,BOVIDAE,Nanger,dama,Nanger dama,72999.519,0
245,BOVIDAE,Nanger,granti,Nanger granti,54999.659,0
246,BOVIDAE,Nanger,soemmerringii,Nanger soemmerringii,40000.001,0
248,BOVIDAE,Neotragus,batesi,Neotragus batesi,2999.991,0
249,BOVIDAE,Neotragus,pygmaeus,Neotragus pygmaeus,4000,0
251,BOVIDAE,Nesotragus,moschatus,Nesotragus moschatus,6499.95,0
253,BOVIDAE,Nilgiritragus,hylocrius,Nilgiritragus hylocrius,75000,0
255,BOVIDAE,Oreamnos,americanus,Oreamnos americanus,72500.333,0
257,BOVIDAE,Oreotragus,oreotragus,Oreotragus oreotragus,12999.9,0
259,BOVIDAE,Oryx,beisa,Oryx beisa,152233.7613,1
260,BOVIDAE,Oryx,dammah,Oryx dammah,200000.002,0
261,BOVIDAE,Oryx,gazella,Oryx gazella,169001.282,0
262,BOVIDAE,Oryx,leucoryx,Oryx leucoryx,87700,0
264,BOVIDAE,Ourebia,ourebi,Ourebia ourebi,17250.036,0
266,BOVIDAE,Ovibos,moschatus,Ovibos moschatus,340501.064,0
268,BOVIDAE,Ovis,ammon,Ovis ammon,180000,0
269,BOVIDAE,Ovis,canadensis,Ovis canadensis,74644.876,0
270,BOVIDAE,Ovis,dalli,Ovis dalli,55650.619,0
271,BOVIDAE,Ovis,nivicola,Ovis nivicola,90000,0
272,BOVIDAE,Ovis,orientalis,Ovis orientalis,60000,0
274,BOVIDAE,Pantholops,hodgsonii,Pantholops hodgsonii,27500,0
276,BOVIDAE,Pelea,capreolus,Pelea capreolus,20000,0
278,BOVIDAE,Philantomba,maxwellii,Philantomba maxwellii,11999.966,0
279,BOVIDAE,Philantomba,monticola,Philantomba monticola,6250,0
281,BOVIDAE,Procapra,gutturosa,Procapra gutturosa,27750,0
282,BOVIDAE,Procapra,picticaudata,Procapra picticaudata,20000,0
283,BOVIDAE,Procapra,przewalskii,Procapra przewalskii,27500,0
285,BOVIDAE,Pseudois,nayaur,Pseudois nayaur,45000,0
286,BOVIDAE,Pseudois,schaeferi,Pseudois schaeferi,29250,0
288,BOVIDAE,Pseudoryx,nghetinhensis,Pseudoryx nghetinhensis,-9999,0
290,BOVIDAE,Raphicerus,campestris,Raphicerus campestris,10500.017,0
291,BOVIDAE,Raphicerus,melanotis,Raphicerus melanotis,10249.909,0
292,BOVIDAE,Raphicerus,sharpei,Raphicerus sharpei,9499.921,0
294,BOVIDAE,Redunca,arundinum,Redunca arundinum,58000.268,0
295,BOVIDAE,Redunca,fulvorufula,Redunca fulvorufula,29499.863,0
296,BOVIDAE,Redunca,redunca,Redunca redunca,44050.415,0
298,BOVIDAE,Rupicapra,pyrenaica,Rupicapra pyrenaica,30000,0
299,BOVIDAE,Rupicapra,rupicapra,Rupicapra rupicapra,26100,0
301,BOVIDAE,Saiga,tatarica,Saiga tatarica,29000,0
303,BOVIDAE,Sylvicapra,grimmia,Sylvicapra grimmia,19499.793,0
305,BOVIDAE,Syncerus,caffer,Syncerus caffer,580002.68,0
307,BOVIDAE,Tetracerus,quadricornis,Tetracerus quadricornis,19000,0
309,BOVIDAE,Tragelaphus,angasii,Tragelaphus angasii,86600.42,0
310,BOVIDAE,Tragelaphus,buxtoni,Tragelaphus buxtoni,215000.762,0
311,BOVIDAE,Tragelaphus,derbianus,Tragelaphus derbianus,149561.4916,1
312,BOVIDAE,Tragelaphus,eurycerus,Tragelaphus eurycerus,329003.108,0
313,BOVIDAE,Tragelaphus,imberbis,Tragelaphus imberbis,81575.548,0
314,BOVIDAE,Tragelaphus,oryx,Tragelaphus oryx,149561.4916,1
315,BOVIDAE,Tragelaphus,scriptus,Tragelaphus scriptus,43250.387,0
316,BOVIDAE,Tragelaphus,spekii,Tragelaphus spekii,77999.173,0
317,BOVIDAE,Tragelaphus,strepsiceros,Tragelaphus strepsiceros,213501.043,0
320,BRADYPODIDAE,Bradypus,pygmaeus,Bradypus pygmaeus,4028.320667,1
321,BRADYPODIDAE,Bradypus,torquatus,Bradypus torquatus,3899.959,0
322,BRADYPODIDAE,Bradypus,tridactylus,Bradypus tridactylus,3849.994,0
323,BRADYPODIDAE,Bradypus,variegatus,Bradypus variegatus,4335.009,0
326,BURRAMYIDAE,Burramys,parvus,Burramys parvus,41.5,0
328,BURRAMYIDAE,Cercartetus,caudatus,Cercartetus caudatus,25,0
329,BURRAMYIDAE,Cercartetus,concinnus,Cercartetus concinnus,13,0
330,BURRAMYIDAE,Cercartetus,lepidus,Cercartetus lepidus,7,0
331,BURRAMYIDAE,Cercartetus,nanus,Cercartetus nanus,24,0
334,CAENOLESTIDAE,Caenolestes,caniventer,Caenolestes caniventer,40,0
335,CAENOLESTIDAE,Caenolestes,condorensis,Caenolestes condorensis,35.93333333,1
336,CAENOLESTIDAE,Caenolestes,convelatus,Caenolestes convelatus,40,0
337,CAENOLESTIDAE,Caenolestes,fuliginosus,Caenolestes fuliginosus,27.8,0
339,CAENOLESTIDAE,Lestoros,inca,Lestoros inca,21.1,0
341,CAENOLESTIDAE,Rhyncholestes,raphanurus,Rhyncholestes raphanurus,21,0
344,CALLITRICHIDAE,Callibella,humilis,Callibella humilis,-9999,0
346,CALLITRICHIDAE,Callimico,goeldii,Callimico goeldii,479.999,0
348,CALLITRICHIDAE,Callithrix,aurita,Callithrix aurita,342.003,0
349,CALLITRICHIDAE,Callithrix,flaviceps,Callithrix flaviceps,342.003,0
350,CALLITRICHIDAE,Callithrix,geoffroyi,Callithrix geoffroyi,342.003,0
351,CALLITRICHIDAE,Callithrix,jacchus,Callithrix jacchus,291.998,0
352,CALLITRICHIDAE,Callithrix,kuhlii,Callithrix kuhlii,342.003,0
353,CALLITRICHIDAE,Callithrix,penicillata,Callithrix penicillata,342.003,0
355,CALLITRICHIDAE,Cebuella,pygmaea,Cebuella pygmaea,-9999,0
357,CALLITRICHIDAE,Leontopithecus,caissara,Leontopithecus caissara,572,0
358,CALLITRICHIDAE,Leontopithecus,chrysomelas,Leontopithecus chrysomelas,700.003,0
359,CALLITRICHIDAE,Leontopithecus,chrysopygus,Leontopithecus chrysopygus,700.003,0
360,CALLITRICHIDAE,Leontopithecus,rosalia,Leontopithecus rosalia,535.501,0
362,CALLITRICHIDAE,Mico,acariensis,Mico acariensis,439.997,1
363,CALLITRICHIDAE,Mico,argentatus,Mico argentatus,439.997,1
364,CALLITRICHIDAE,Mico,chrysoleucus,Mico chrysoleucus,439.997,1
365,CALLITRICHIDAE,Mico,emiliae,Mico emiliae,439.997,1
366,CALLITRICHIDAE,Mico,humeralifer,Mico humeralifer,439.997,1
367,CALLITRICHIDAE,Mico,intermedius,Mico intermedius,439.997,1
368,CALLITRICHIDAE,Mico,leucippe,Mico leucippe,439.997,0
369,CALLITRICHIDAE,Mico,manicorensis,Mico manicorensis,439.997,1
370,CALLITRICHIDAE,Mico,marcai,Mico marcai,439.997,1
371,CALLITRICHIDAE,Mico,mauesi,Mico mauesi,439.997,1
372,CALLITRICHIDAE,Mico,melanurus,Mico melanurus,439.997,1
373,CALLITRICHIDAE,Mico,nigriceps,Mico nigriceps,439.997,1
374,CALLITRICHIDAE,Mico,saterei,Mico saterei,439.997,1
375,CALLITRICHIDAE,Mico,sp. nov.,Mico sp. nov.,439.997,1
377,CALLITRICHIDAE,Saguinus,bicolor,Saguinus bicolor,464.997,0
378,CALLITRICHIDAE,Saguinus,fuscicollis,Saguinus fuscicollis,386.999,0
379,CALLITRICHIDAE,Saguinus,geoffroyi,Saguinus geoffroyi,486.497,0
380,CALLITRICHIDAE,Saguinus,imperator,Saguinus imperator,400,0
381,CALLITRICHIDAE,Saguinus,inustus,Saguinus inustus,410.497,0
382,CALLITRICHIDAE,Saguinus,labiatus,Saguinus labiatus,575.003,0
383,CALLITRICHIDAE,Saguinus,leucopus,Saguinus leucopus,439.997,0
384,CALLITRICHIDAE,Saguinus,martinsi,Saguinus martinsi,467.29025,1
385,CALLITRICHIDAE,Saguinus,melanoleucus,Saguinus melanoleucus,467.29025,1
386,CALLITRICHIDAE,Saguinus,midas,Saguinus midas,539.995,0
387,CALLITRICHIDAE,Saguinus,mystax,Saguinus mystax,618.002,0
388,CALLITRICHIDAE,Saguinus,niger,Saguinus niger,467.29025,1
389,CALLITRICHIDAE,Saguinus,nigricollis,Saguinus nigricollis,461.998,0
390,CALLITRICHIDAE,Saguinus,oedipus,Saguinus oedipus,430.002,0
391,CALLITRICHIDAE,Saguinus,tripartitus,Saguinus tripartitus,393.496,0
394,CALOMYSCIDAE,Calomyscus,bailwardi,Calomyscus bailwardi,20.4,0
395,CALOMYSCIDAE,Calomyscus,baluchi,Calomyscus baluchi,900,0
396,CALOMYSCIDAE,Calomyscus,elburzensis,Calomyscus elburzensis,606.2333333,1
397,CALOMYSCIDAE,Calomyscus,grandis,Calomyscus grandis,606.2333333,1
398,CALOMYSCIDAE,Calomyscus,hotsoni,Calomyscus hotsoni,900,0
399,CALOMYSCIDAE,Calomyscus,mystax,Calomyscus mystax,17,0
400,CALOMYSCIDAE,Calomyscus,tsolovi,Calomyscus tsolovi,900,0
401,CALOMYSCIDAE,Calomyscus,urartensis,Calomyscus urartensis,900,0
404,CAMELIDAE,Camelus,ferus,Camelus ferus,690000,0
406,CAMELIDAE,Lama,guanicoe,Lama guanicoe,120000,0
408,CAMELIDAE,Vicugna,vicugna,Vicugna vicugna,47499.605,0
411,CANIDAE,Alopex,lagopus,Alopex lagopus,4867.67,0
413,CANIDAE,Atelocynus,microtis,Atelocynus microtis,7749.97,0
415,CANIDAE,Canis,adustus,Canis adustus,10249.909,0
416,CANIDAE,Canis,aureus,Canis aureus,10345.22733,0
417,CANIDAE,Canis,latrans,Canis latrans,13406.333,0
418,CANIDAE,Canis,lupus,Canis lupus,32183.33333,0
419,CANIDAE,Canis,mesomelas,Canis mesomelas,8500.021,0
420,CANIDAE,Canis,rufus,Canis rufus,22983.174,0
421,CANIDAE,Canis,simensis,Canis simensis,10000,0
423,CANIDAE,Cerdocyon,thous,Cerdocyon thous,5239.984,0
425,CANIDAE,Chrysocyon,brachyurus,Chrysocyon brachyurus,23249.842,0
427,CANIDAE,Cuon,alpinus,Cuon alpinus,12760,0
429,CANIDAE,Dusicyon,australis,Dusicyon australis,-9999,0
431,CANIDAE,Lycaon,pictus,Lycaon pictus,22050.071,0
433,CANIDAE,Nyctereutes,procyonoides,Nyctereutes procyonoides,4040,0
435,CANIDAE,Otocyon,megalotis,Otocyon megalotis,4150.018,0
437,CANIDAE,Pseudalopex,culpaeus,Pseudalopex culpaeus,9832.41,0
438,CANIDAE,Pseudalopex,fulvipes,Pseudalopex fulvipes,6430.4652,1
439,CANIDAE,Pseudalopex,griseus,Pseudalopex griseus,8279.994,0
440,CANIDAE,Pseudalopex,gymnocercus,Pseudalopex gymnocercus,4689.969,0
441,CANIDAE,Pseudalopex,sechurae,Pseudalopex sechurae,4000,0
442,CANIDAE,Pseudalopex,vetulus,Pseudalopex vetulus,5349.953,0
444,CANIDAE,Speothos,venaticus,Speothos venaticus,5999.983,0
446,CANIDAE,Urocyon,cinereoargenteus,Urocyon cinereoargenteus,3833.717,0
447,CANIDAE,Urocyon,littoralis,Urocyon littoralis,1896,0
449,CANIDAE,Vulpes,bengalensis,Vulpes bengalensis,2726,0
450,CANIDAE,Vulpes,cana,Vulpes cana,936.85,0
451,CANIDAE,Vulpes,chama,Vulpes chama,2955.017,0
452,CANIDAE,Vulpes,corsac,Vulpes corsac,2400,0
453,CANIDAE,Vulpes,ferrilata,Vulpes ferrilata,5000,0
454,CANIDAE,Vulpes,macrotis,Vulpes macrotis,2829.859867,1
455,CANIDAE,Vulpes,pallida,Vulpes pallida,2800.013,0
456,CANIDAE,Vulpes,rueppellii,Vulpes rueppellii,2864.981,0
457,CANIDAE,Vulpes,velox,Vulpes velox,2197.506,0
458,CANIDAE,Vulpes,vulpes,Vulpes vulpes,5318.231667,0
459,CANIDAE,Vulpes,zerda,Vulpes zerda,1100,0
462,CAPROMYIDAE,Capromys,pilorides,Capromys pilorides,5650,0
464,CAPROMYIDAE,Geocapromys,brownii,Geocapromys brownii,1500,0
465,CAPROMYIDAE,Geocapromys,columbianus,Geocapromys columbianus,1150,1
466,CAPROMYIDAE,Geocapromys,ingrahami,Geocapromys ingrahami,800,0
467,CAPROMYIDAE,Geocapromys,thoracatus,Geocapromys thoracatus,1150,1
469,CAPROMYIDAE,Hexolobodon,phenax,Hexolobodon phenax,-9999,0
