referenceKey,FinalRelevance,Year,Author,Title,Journal,DOI
RN99J5Z6,YES,2012,"Andreazzi, Cecilia S.; Pimenta, Clarissa S.; Pires, Alexandra S.; Fernandez, Fernando A. S.; Oliveira-Santos, Luiz G.; Menezes, Jorge F. S.",Increased Productivity and Reduced Seed Predation Favor A Large-seeded Palm in Small Atlantic Forest Fragments,Biotropica,10.1111/j.1744-7429.2011.00782.x
FKSFI64V,YES,2012,"de Freitas, Cintia Gomes; Capellotto Costa, Flavia Regina; Svenning, Jens-Christian; Balslev, Henrik",Topographic Separation of Two Sympatric Palms in the Central Amazon - Does Dispersal Play A Role?,Acta Oecologica-International Journal of Ecology,10.1016/j.actao.2012.01.007
X7JA558P,YES,2012,"Choo, J.; Juenger, T. E.; Simpson, B. B.",Consequences of Frugivore-mediated Seed Dispersal for  the Spatial and Genetic Structures of A Neotropical Palm,Molecular Ecology,10.1111/j.1365-294X.2011.05425.x
WGZIKVW8,YES,2012,"Campos, Renata Calixto; Steiner, Josefina; Zillikens, Anne",Bird and Mammal Frugivores of Euterpe Edulis at Santa Catarina Island Monitored by Camera Traps,Studies on Neotropical Fauna and Environment,10.1080/01650521.2012.678102
WASZAIGH,YES,2012,"de Castro, Everaldo Rodrigo; Cortes, Marina Correa; Navarro, Luis; Galetti, Mauro; Morellato, Leonor Patricia C.",Temporal Variation in the Abundance of Two Species of Thrushes in Relation To Fruiting Phenology in the Atlantic Rainforest,Emu,10.1071/MU11023
HKD8QHD3,YES,2012,"Chaves, Oscar M.; Stoner, Kathryn E.; Arroyo-Rodriguez, Victor",Differences in Diet Between Spider Monkey Groups Living in Forest Fragments and Continuous Forest in Mexico,Biotropica,10.1111/j.1744-7429.2011.00766.x
KUGCBI8X,YES,2011,"Montufar, Rommel; Anthelme, Fabien; Pintaud, Jean-Christophe; Balslev, Henrik",Disturbance and Resilience in Tropical American Palm Populations and Communities,Botanical Review,10.1007/s12229-011-9085-9
WOEMDZ3,YES,1978,"Snow, D.; Snow, K.","Palm Fruits in the Diet of the Oilbird, Steatornis Caripensis.",Principes,
QPWODQQ,YES,1978,"Tannenbaum, B.;  Wrege, P.  ",Ecologia Del Guacharo En Venezuela (steatornis Caripensis).,"Boletin
de la Academia de Ciencias Fisicas Matematicas y Naturales",
EWPPSMQ,YES,1991,"Moraes, M","Contribucion Al Studio Del Ciclo Biologico De La Palma Copernicia Alba En Un Area Ganadera (espiritu, Beni, Bolivia)",Ecologia en Bolivia,
