PALM,FRUGIVORE,frugClass,frugFamily,biogeographicRegion,InteractionID,Unique_interaction,frugBodyMASS,FruitLength_cm,PalmTribe,PalmSubfamily,Country,botanicalCountry,referenceKey
Astrocaryum aculeatissimum,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum aculeatissimum_Dasyprocta leporina,0,3020.021,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,MJ6HJHEF
Astrocaryum aculeatissimum,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum aculeatissimum_Dasyprocta leporina,0,3020.021,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,SW6IINCS
Astrocaryum aculeatissimum,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum aculeatissimum_Dasyprocta leporina,1,3020.021,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,V3HPA4JA
Astrocaryum aculeatissimum,Dasypus novemcinctus,MAMMAL,Dasypodidae,Neotropics,Astrocaryum aculeatissimum_Dasypus novemcinctus,1,4203.78,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,MJ6HJHEF
Astrocaryum aculeatissimum,Didelphis aurita,MAMMAL,Didelphidae,Neotropics,Astrocaryum aculeatissimum_Didelphis aurita,1,1163.992,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,MJ6HJHEF
Astrocaryum aculeatissimum,Metachirus nudicaudatus,MAMMAL,Didelphidae,Neotropics,Astrocaryum aculeatissimum_Metachirus nudicaudatus,1,375,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,MJ6HJHEF
Astrocaryum aculeatissimum,Salvator merianae,REPTILES,Teiidae,Neotropics,Astrocaryum aculeatissimum_Salvator merianae,1,7500,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,MJ6HJHEF
Astrocaryum aculeatum,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum aculeatum_Dasyprocta leporina,0,3020.021,5.5,Cocoseae,Arecoideae,BRAZIL,BZN,DNJ3FTIE
Astrocaryum aculeatum,Dasyprocta leporina,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum aculeatum_Dasyprocta leporina,1,3020.021,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,GR5RQHM8
Astrocaryum aculeatum,Myoprocta acouchy,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum aculeatum_Myoprocta acouchy,1,599.998,5.5,Cocoseae,Arecoideae,BRAZIL,BZL,GR5RQHM8
Astrocaryum alatum,Dasyprocta fuliginosa,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum alatum_Dasyprocta fuliginosa,1,3500.016,2.6,Cocoseae,Arecoideae,COSTA RICA,COS,ARXTKHHV
Astrocaryum alatum,Dasyprocta punctata,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum alatum_Dasyprocta punctata,1,2674.977,2.6,Cocoseae,Arecoideae,PANAMA,PAN,NEH8RCVA
Astrocaryum alatum,Pecari tajacu,MAMMAL,Tayassuidae,Neotropics,Astrocaryum alatum_Pecari tajacu,0,21266.695,2.6,Cocoseae,Arecoideae,COSTA RICA,COS,ARXTKHHV
Astrocaryum alatum,Pecari tajacu,MAMMAL,Tayassuidae,Neotropics,Astrocaryum alatum_Pecari tajacu,1,21266.695,2.6,Cocoseae,Arecoideae,PANAMA,PAN,NEH8RCVA
Astrocaryum chambira,Ateles belzebuth,MAMMAL,Atelidae,Neotropics,Astrocaryum chambira_Ateles belzebuth,1,5000,7,Cocoseae,Arecoideae,ECUADOR,ECU,4KMEVUZQ
Astrocaryum chambira,Dasyprocta fuliginosa,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum chambira_Dasyprocta fuliginosa,1,3500.016,7,Cocoseae,Arecoideae,COLOMBIA,CLM,GU9WCNZB
Astrocaryum chambira,Myoprocta acouchy,MAMMAL,Dasyproctidae,Neotropics,Astrocaryum chambira_Myoprocta acouchy,1,599.998,7,Cocoseae,Arecoideae,COLOMBIA,CLM,GU9WCNZB
Astrocaryum chambira,Pecari tajacu,MAMMAL,Tayassuidae,Neotropics,Astrocaryum chambira_Pecari tajacu,1,21266.695,7,Cocoseae,Arecoideae,PERU,PER,CFFXP4XP
Astrocaryum chambira,Sapajus apella,MAMMAL,Cebidae,Neotropics,Astrocaryum chambira_Sapajus apella,1,2500,7,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
Astrocaryum chambira,Sciurus igniventris,MAMMAL,Sciuridae,Neotropics,Astrocaryum chambira_Sciurus igniventris,1,700.003,7,Cocoseae,Arecoideae,PERU,PER,88CKBQ8M
Astrocaryum chambira,Tayassu pecari,MAMMAL,Tayassuidae,Neotropics,Astrocaryum chambira_Tayassu pecari,1,32233.688,7,Cocoseae,Arecoideae,PERU,PER,CFFXP4XP
Astrocaryum confertum,Dermanura watsoni,MAMMAL,Phyllostomatidae,Neotropics,Astrocaryum confertum_Dermanura watsoni,1,50.3274375,3,Cocoseae,Arecoideae,COSTA RICA,COS,78579EUU
Astrocaryum confertum,Ramphastos sulfuratus,BIRDS,Ramphastidae,Neotropics,Astrocaryum confertum_Ramphastos sulfuratus,1,409.69,3,Cocoseae,Arecoideae,NA,NA,FAIRCHILD
